2024-05-15 15:22:18,323 INFO Loading dictionaries from /home/amt3ad/.conda/envs/diss/lib/python3.10/site-packages/pymorphy2_dicts_ru/data
2024-05-15 15:22:18,366 INFO format: 2.4, revision: 417127, updated: 2020-10-11T15:05:51.070345
2024-05-15 15:22:19,152 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:19,154 DEBUG Loaded backend module://matplotlib_inline.backend_inline version unknown.
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Variants-Regular.otf', name='STIX MathJax Variants', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/google-crosextra-carlito/Carlito-Bold.ttf', name='Carlito', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/C059-BdIta.otf', name='C059', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Main-BoldItalic.otf', name='STIX MathJax Main', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Misc-Italic.otf', name='STIX MathJax Misc', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Alphabets-BoldItalic.otf', name='STIX MathJax Alphabets', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Marks-BoldItalic.otf', name='STIX MathJax Marks', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_WinChrome-Regular.otf', name='MathJax_WinChrome', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/trebucbd.ttf', name='Trebuchet MS', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,986 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/trebuc.ttf', name='Trebuchet MS', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Size3-Regular.otf', name='MathJax_Size3', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Main-Regular.otf', name='STIX MathJax Main', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/liberation/LiberationSerif-Italic.ttf', name='Liberation Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Script-Regular.otf', name='MathJax_Script', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/google-crosextra-caladea/Caladea-Italic.ttf', name='Caladea', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/msttcore/georgiai.ttf', name='Georgia', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/MathJax_Typewriter-Regular.otf', name='MathJax_Typewriter', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Latin-Bold.otf', name='STIX MathJax Latin', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/dejavu/DejaVuSerifCondensed-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='condensed', size='scalable')) = 10.535
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/urw-base35/URWBookman-LightItalic.otf', name='URW Bookman', style='italic', variant='normal', weight=300, stretch='normal', size='scalable')) = 11.145
2024-05-15 15:22:48,987 DEBUG findfont: score(FontEntry(fname='/usr/share/fonts/mathjax/STIXMathJax_Script-BoldItalic.otf', name='STIX MathJax Script', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
